NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
"I have a concussion , but I will be OK .","Well . No , I didn't clean it.But still , I only had the last one two months , and it broke . I don't trust auto-reverse .",I want to buy three tickets . What's the entrance fee ?,The service did not help the situation .,You were lucky then . What did you do after that ?,"Yes , my parents , and soon my brother as well .","just woke up from the most vivid, sketchy, not-cool dreams of my life. time to stare at the wall with the lights on. ...",,,,,,,,,,,,
I only need to take this week off .,How much is it ?,"Here are $ 30 . By the way , where can I find a guide ?",I am not interested in trying this restaurant again .,So you must have had a busy and enjoyable day yesterday .,"Oh , yes , he is two years older than me . He lives in New Zealand so I don't see him that often .",it'll take 3 days for my sister to get her passport ...,,,,,,,,,,,,
"Hello , Parker . How ?s everything ?",Can I test it out ?,Thanks a lot .,No . I am a transit passenger going to Sweden .,Susan is going to get a divorce .,His son is coming as well . He wants to go to university here in England so they will visit a few universities while they are here ., OH MY YES!! i miss ,,,,,,,,,,,,
Business is booming . I understand you want to meet up with me next week . How ?s your schedule looking ?,It sounds great . I'll take it .,Shall we share a taxi ?,Only one night .,"She told me that Peter and she has a quarrel last nigh , and she left this morning , bag and baggage .","No , he has two daughters as well . His wife and daughters are visiting her parents . So I won't see them .",Uh oh... I think I am getting sick ,,,,,,,,,,,,
Great .,Thanks .,I want to go back to my college on the Huanghe road.It is very close to your house .,"No , I don't .",Here's the course description guide .,"Oh yes , they are really looking forward to it . They went to New Zealand last year and loved it .",Good GOD they ruined my belly button!!!  ...,,,,,,,,,,,,
How come it is slow as a snail today ?,I was born and raised in Beijing . I attended Peking University and received my bachelor's degree in Economics . I have worked for 2 years as a financial consultant in Beijing for China Pacific Insurance Co . Ltd .,That's the one .,They are my personal effects .,Do you want me to help you ?,My parents are already here . My brother and nephew are arriving on Monday .,Watching Who Framed Roger Rabbit. Makes me miss Toon Town. ...,,,,,,,,,,,,
"Yes , I wanted to look for some information on the company page just now . It took me almost one minute to open it . Then there is no response to any click .",I'm looking for a position in which I can utilize my experience .,"Yeah.If we share the cab , it'll be cheaper.Besides that your Chinese is better than mine.The drivers usually have difficulty understanding me even though I practice my pronunciation carefully .","First of all , we need to understand what I was looking for . Do you know what the purpose of an inspection is ?",Look . Here are the core classes . Everyone has to take them .,I am swapped with work after 10 - day holiday .," renting.. but very cheap renting, and awesome house. We had 3 buying attempts fall through ",,,,,,,,,,,,
Ok .,"I am more interested in a full-time position . However , I would also consider a part-time position .",Good morning.Are you Mr.Liu ?,"I went there to check for problems with the home , so you aren ?t surprised when you move in .","You're catching on ! However , there are elective courses like wood shop , metal shop , home economics ...",I went to Paris .,running nose + spinning head = not a good combination for a meeting! ,,,,,,,,,,,,
"Honey , I need to have a talk with you .","I advised customers on financial matters . After I consulted the customer , I completed a customer inquiry form and catalogued the information in our database . I then collaborated with colleagues to prepare the best possible package for the client . The clients were then presented with a summarized report on their financial activities that I formulated on a quarterly basis .","How do you do ? Please be seated , How is your trip here ?","Sellers aren ?t always truthful , and there might also be problems that they aren ?t aware of .",Good . Now you can pick classes by yourself .,"I'm from Canada , originally .", NEGATIVE.. you lost my vote of confidence ...,,,,,,,,,,,,
"No , honey , why didn't you go to cram school last night ?","I am an excellent communicator . People trust me and come to me for advice . One afternoon , my colleague was involved with a troublesome customer who felt he was not being served well . I made the customer a cup of coffee and invited both my colleague and the client to my desk where we solved the problem together .","Oh , yes.How old are you ?",You can make the sale of the house contingent on them fixing the problems .,"Well , known , Jim , I'm ... I'm pretty much in favour of your computers , I think computers teach kids to think , because they require logical thoughts .",Montreal .,Nasty budget due and my iphone is being sent to Apple today. ...,,,,,,,,,,,,
"Honey , if you don't want to go to cram school , you should tell me the reason why .","I tend to spend too much time making sure the customer is satisfied . However , I began setting time-limits for myself .","Hum , still a student ?",There were no major problems . One leaky pipe under the sink and two broken roof tiles was all that I found .,What do you mean ?,We moved here when I was fourteen ., that?s bad ...,,,,,,,,,,,,
"What's wrong with you , young man ?","After following your firm's progress for the last 3 years , I am convinced that your company is becoming one of the market leaders and I would like to be a part of that team .",What subjects are you studying ?,I will take a rain check .,That's not the gadgets . Creating programmes is stimulate thoughts . It engages their imagination and sharpen their mind .,"Well , I went to high school here , but I went to college in Texas .","Dammit, episode 3 of Kings won't play for some reason  stopped in the middle now won't do anything...",,,,,,,,,,,,
Do you have a fever ?,Immediately .,Have you had any working experience .,Tell me what seems to be the problem .,"Ann , do you have time next Monday ?","No , I traveled for a while in Europe after college , and then I lived in France .",I'm so upset that I missed my chat and quiz online because my free internet has ceased ,,,,,,,,,,,,
Let me examine you . Don't worry . It's nothing serious .,"Well , all right . There are four points you should keep in mind when you file documents , information and other things .",What do you like to do in your spare time ?,Did you ever talk to him about it ?,"Next Monday is my birthday , and I would like you to attend my party .",Let's see ... That was about six years ago .,can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!! ,,,,,,,,,,,,
"Yes , stay in bed and drink a lot of water . Your fever will be gone in a day or two .","They are keep the documents in chronological order , remove all the chips and pins , punch the documents evenly and place them in the folder .",How are your English and computer skills ?,I have a question .,Great !,I studied French . Anyway ... that's enough about me.How about you ? Were you born in L . A . ?,Car show season has started without me ,,,,,,,,,,,,
Of course not . You need a good rest .,You should always remember that one customer one file is the rule .,"Okay . Mr.Liu , we'll inform you of the results within a week .",I need to take the driver's course . How many hours do I need ?,"Five o ?clock that afternoon , and in my place , you know ?","Yes , I'm a very good mother and successful career woman .",my throat is raw. ...,,,,,,,,,,,,
I want something sweet after dinner .,"Yes , they were . But it has already past . The traffic from the airport to downtown has been relieved after the completion of Yan'an Aerial Road .",That dress is very pretty . Why don ?t you like it ?,I need to get my license .,I am going to invite other guys . See you that day .,"I think the most important thing is that you should be nice to yourself , like keeping housework simple , spending money on things that make life easier , buying yourself things you like , and so on . You can only be nice to others when you can be nice to yourself .", I just don't get it. What in a persons mind could even have them on some ish like this???  My prayers are with her fam for real...,,,,,,,,,,,,
